"Ebates, Inc."
1-800-Flowers.com Inc. (NasdaqGS:FLWS)
"Guangdong Hongtu Technology (Holdings) Co., Ltd. (SZSE:002101)"
1-800-Flowers.com Inc. (NasdaqGS:FLWS)
Moov Corporation
1-800-Flowers.com Inc. (NasdaqGS:FLWS)
SLI Systems Limited (NZSE:SLI)
1-800-Flowers.com Inc. (NasdaqGS:FLWS)
Sprinklr Inc.
1-800-Flowers.com Inc. (NasdaqGS:FLWS)
"Xcel Brands, Inc. (NasdaqGM:XELB)"
1-800-Flowers.com Inc. (NasdaqGS:FLWS)
Aeorema Communications Plc (AIM:AEO)
2E Group AB (publ) (OM:2E)
Sunset+Vine Productions Ltd.
2E Group AB (publ) (OM:2E)
Kambi Group Limited (OM:KAMBI)
32Red Plc (AIM:TTR)
eFuture Holding Inc. (NasdaqCM:EFUT)
361 Degrees International Limited (SEHK:1361)
ChinaCache International Holdings Ltd. (NasdaqGS:CCIH)
500.com Limited (NYSE:WBAI)
Alphabet Inc. (NasdaqGS:GOOGL)
7Digital Group PLC (AIM:7DIG)
Evolution Gaming Group AB (publ) (OM:EVO)
888 Holdings Public Limited Company (LSE:888)
Kambi Group Limited (OM:KAMBI)
888 Holdings Public Limited Company (LSE:888)
NetEnt AB (publ) (OM:NET B)
888 Holdings Public Limited Company (LSE:888)
NYX Gaming Group Limited (TSXV:NYX)
888 Holdings Public Limited Company (LSE:888)
JPMorgan Chase & Co. (NYSE:JPM)
99 Wuxian Limited (ASX:NNW)
QQ
99 Wuxian Limited (ASX:NNW)
"Shanghai Huayue Information Co., Ltd"
99 Wuxian Limited (ASX:NNW)
"Cinsay, Inc."
A. H. Belo Corporation (NYSE:AHC)
"Cinsay, Inc."
A. H. Belo Corporation (NYSE:AHC)
"Craigslist, Inc."
A. H. Belo Corporation (NYSE:AHC)
"Tokyo Kikai Seisakusho, Ltd. (TSE:6335)"
A. H. Belo Corporation (NYSE:AHC)
Yahoo! Inc. (NasdaqGS:YHOO)
A. H. Belo Corporation (NYSE:AHC)
Juventus Football Club S.p.A. (BIT:JUVE)
A.S. Roma S.P.A. (BIT:ASR)
"Galaxia Communications Co., Ltd. (KOSDAQ:A094480)"
A1N Inc. (KOSDAQ:A035290)
Dangote Cement Plc (NGSE:DANGCEM)
AA plc (LSE:AA.)
"Greenhill & Co., Inc. (NYSE:GHL)"
AA plc (LSE:AA.)
Netcall plc (AIM:NET)
AA plc (LSE:AA.)
Panasonic Corporation (TSE:6752)
AA plc (LSE:AA.)
Trakm8 Holdings PLC (AIM:TRAK)
AA plc (LSE:AA.)
A Maction Company Ltd
AAPICO Hitech Public Company Limited (SET:AH)
Ford Motor Co. (NYSE:F)
AAPICO Hitech Public Company Limited (SET:AH)
Ford Motor Co. (NYSE:F)
AAPICO Hitech Public Company Limited (SET:AH)
"Honda Motor Co., Ltd. (TSE:7267)"
AAPICO Hitech Public Company Limited (SET:AH)
Mitsubishi Motors Corporation (TSE:7211)
AAPICO Hitech Public Company Limited (SET:AH)
Mitsubishi Motors Corporation (TSE:7211)
AAPICO Hitech Public Company Limited (SET:AH)
Thai Rung Union Car Public Company Limited (SET:TRU)
AAPICO Hitech Public Company Limited (SET:AH)
Dell Technologies Inc. (NYSE:DVMT)
"Aaron's, Inc. (NYSE:AAN)"
"Electrolux Home Products, Inc."
"Aaron's, Inc. (NYSE:AAN)"
HP Inc. (NYSE:HPQ)
"Aaron's, Inc. (NYSE:AAN)"
JVC Americas Corp.
"Aaron's, Inc. (NYSE:AAN)"
Koninklijke Philips N.V. (ENXTAM:PHIA)
"Aaron's, Inc. (NYSE:AAN)"
LG Electronics Inc. (KOSE:A066570)
"Aaron's, Inc. (NYSE:AAN)"
Maytag Corporation
"Aaron's, Inc. (NYSE:AAN)"
Philips Electronics North America Corporation
"Aaron's, Inc. (NYSE:AAN)"
RCA Corporation (Acquired)
"Aaron's, Inc. (NYSE:AAN)"
Samsung Electronics Co. Ltd. (KOSE:A005930)
"Aaron's, Inc. (NYSE:AAN)"
Sharp Corporation (TSE:6753)
"Aaron's, Inc. (NYSE:AAN)"
Simmons Bedding Group Plc
"Aaron's, Inc. (NYSE:AAN)"
Sony Corporation (TSE:6758)
"Aaron's, Inc. (NYSE:AAN)"
Whirlpool Corp. (NYSE:WHR)
"Aaron's, Inc. (NYSE:AAN)"
KV Enterprises BV
